
4
5
3
4,236,1,"2025-05-01 15:48:22",IMG-2025-05-01-15:48:22,0,0,0,3,0,17,1,21
5,236,2,"2025-05-01 15:48:43",IMG-2025-05-01-15:48:43,0,0,0,2,0,20,2,24
6,236,3,"2025-05-01 15:48:58",IMG-2025-05-01-15:48:58,0,0,0,2,0,17,1,20
7,236,4,"2025-05-01 15:49:05",IMG-2025-05-01-15:49:05,0,0,0,1,0,15,1,17
8,236,5,"2025-05-01 15:49:20",IMG-2025-05-01-15:49:20,0,0,0,0,0,5,1,6
9,237,1,"2025-05-01 15:52:53",IMG-2025-05-01-15:52:53,0,0,0,1,0,23,4,28
10,237,2,"2025-05-01 15:53:33",IMG-2025-05-01-15:53:33,0,0,0,1,1,1,0,3
11,238,1,"2025-05-01 16:04:54",IMG-2025-05-01-16:04:54,0,0,0,2,1,16,1,20
12,238,2,"2025-05-01 16:05:04",IMG-2025-05-01-16:05:04,0,0,0,2,0,22,3,27
13,238,3,"2025-05-01 16:05:35",IMG-2025-05-01-16:05:35,0,0,0,2,0,18,2,22
14,239,1,"2025-05-01 16:08:04",IMG-2025-05-01-16:08:04,0,0,0,1,0,17,2,20
15,239,2,"2025-05-01 16:08:21",IMG-2025-05-01-16:08:21,0,0,0,2,0,17,1,20
16,240,1,"2025-05-01 16:08:53",IMG-2025-05-01-16:08:53,0,0,0,3,0,17,2,22
17,241,1,"2025-05-01 16:09:14",IMG-2025-05-01-16:09:14,0,0,0,0,0,16,0,16
18,241,2,"2025-05-01 16:09:22",IMG-2025-05-01-16:09:22,0,0,0,0,0,17,0,17
19,242,1,"2025-05-01 16:23:44",IMG-2025-05-01-16:23:44,0,0,0,2,0,17,1,20
20,242,2,"2025-05-01 16:24:00",IMG-2025-05-01-16:24:00,0,0,0,1,0,16,1,18
21,242,3,"2025-05-01 16:24:10",IMG-2025-05-01-16:24:10,0,0,0,1,0,15,0,16
22,242,4,"2025-05-01 16:24:18",IMG-2025-05-01-16:24:18,0,0,0,1,0,15,0,16
23,243,1,"2025-05-01 16:37:03",IMG-2025-05-01-16:37:03,0,0,0,1,0,17,2,20
24,243,2,"2025-05-01 16:37:14",IMG-2025-05-01-16:37:14,0,0,0,2,0,16,0,18
