wcpb_id,operation_id,created_at,image_name,BGA,DIP,Inductor,QFP,REC,"SMD EC",SOP,total_class
1,97,"2025-04-27 06:33:00",IMG-20250427-0633,10,0,0,15,62,0,21,108
2,97,"2025-04-27 06:34:00",IMG-20250427-0633,10,0,0,16,66,0,18,110
3,98,"2025-04-27 06:35:00",IMG-20250427-0635,10,0,0,15,64,0,19,108
4,99,"2025-04-27 10:03:00",IMG-20250427-1002,5,0,0,0,56,0,20,86
5,99,"2025-04-27 10:03:00",IMG-20250427-1002,5,0,0,0,53,0,19,82
